Class Name,CBO,DIT,LCOM,NOC,RFC,WMC
com.sk89q.util.yaml.YAMLFormat,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.util.yaml.YAMLNode,11,1,1,1,66,130
com.sk89q.util.yaml.YAMLProcessor,19,2,2,0,63,37
com.sk89q.util.yaml.YAMLProcessor.FancyRepresenter,0,4.5,4,1,0,
com.sk89q.util.yaml.YAMLProcessorException,1,3,0,0,4,2
com.sk89q.wepif.ConfigurationPermissionsResolver,4,1,3,0,32,30
com.sk89q.wepif.DinnerPermsResolver,5,1,4,2,36,35
com.sk89q.wepif.FlatFilePermissionsResolver,5,1,3,0,41,44
com.sk89q.wepif.GroupManagerResolver,4,2,4,0,29,24
com.sk89q.wepif.NijiPermissionsResolver,5,1,4,0,36,31
com.sk89q.wepif.PermissionsExResolver,4,2,3,0,21,14
com.sk89q.wepif.PermissionsProvider,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.wepif.PermissionsResolver,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.wepif.PermissionsResolverManager,21,1,3,0,67,41
com.sk89q.wepif.PermissionsResolverManager.MissingPluginException,0,0,0,0,0,
com.sk89q.wepif.PermissionsResolverManager.ServerListener,0,28.3333,27,3,0,
com.sk89q.wepif.PluginPermissionsResolver,4,1,4,0,28,15
com.sk89q.wepif.VaultResolver,3,1,3,0,26,18
com.sk89q.wepif.WEPIFRuntimeException,2,4,0,0,2,1
com.sk89q.wepif.bPermissionsResolver,3,1,4,0,21,16
com.sk89q.worldedit.DisallowedItemException,2,4,1,1,4,3
com.sk89q.worldedit.EditSession,192,1,14,1,399,397
com.sk89q.worldedit.EditSession.ReorderMode,N/A,N/A,6,N/A,N/A,
com.sk89q.worldedit.EditSession.Stage,N/A,N/A,0,N/A,N/A,
com.sk89q.worldedit.EditSessionBuilder,14,1,1,N/A,19,14
com.sk89q.worldedit.EditSessionFactory,6,1,4,1,5,4
com.sk89q.worldedit.EditSessionFactory.EditSessionFactoryImpl,0,24,26,5,0,
com.sk89q.worldedit.EmptyClipboardException,5,4,0,0,0,0
com.sk89q.worldedit.IncompleteRegionException,19,4,0,0,0,0
com.sk89q.worldedit.InvalidItemException,2,5,0,0,2,1
com.sk89q.worldedit.LocalConfiguration,84,1,6,5,30,13
com.sk89q.worldedit.LocalSession,122,1,12,0,194,165
com.sk89q.worldedit.MaxBrushRadiusException,3,5,0,0,0,0
com.sk89q.worldedit.MaxChangedBlocksException,52,4,1,0,2,2
com.sk89q.worldedit.MaxRadiusException,4,4,0,1,0,0
com.sk89q.worldedit.MissingWorldException,3,4,0,0,3,1
com.sk89q.worldedit.NotABlockException,5,4,0,0,10,4
com.sk89q.worldedit.TracedEditSession,7,2,1,0,8,2
com.sk89q.worldedit.TracedEditSession.TraceRecord,2,11.2,12,2,0,
com.sk89q.worldedit.UnknownDirectionException,6,4,1,0,5,2
com.sk89q.worldedit.UnknownItemException,1,4,1,0,2,2
com.sk89q.worldedit.WorldEdit,177,1,15,N/A,167,108
com.sk89q.worldedit.WorldEditException,139,3,1,18,13,7
com.sk89q.worldedit.WorldEditManifest,3,1,3,0,19,11
com.sk89q.worldedit.WorldEditManifest.Kind,N/A,N/A,3,N/A,N/A,
com.sk89q.worldedit.blocks.BaseItem,35,1,2,1,13,10
com.sk89q.worldedit.blocks.BaseItemStack,42,2,2,0,16,7
com.sk89q.worldedit.blocks.Blocks,5,1,2,N/A,10,8
com.sk89q.worldedit.blocks.LegacyBaseBlockWrapper,8,2,2,3,9,5
com.sk89q.worldedit.blocks.MobSpawnerBlock,10,3,2,0,30,32
com.sk89q.worldedit.blocks.SignBlock,14,3,2,0,35,22
com.sk89q.worldedit.blocks.SkullBlock,7,3,2,0,24,15
com.sk89q.worldedit.blocks.TileEntityBlock,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.worldedit.bukkit.BukkitAdapter,57,1,23,0,130,55
com.sk89q.worldedit.bukkit.BukkitBiomeRegistry,6,1,2,0,7,4
com.sk89q.worldedit.bukkit.BukkitBlockCategoryRegistry,5,1,1,0,11,5
com.sk89q.worldedit.bukkit.BukkitBlockCommandSender,8,3,2,0,31,23
com.sk89q.worldedit.bukkit.BukkitBlockRegistry,10,2,4,0,17,8
com.sk89q.worldedit.bukkit.BukkitBlockRegistry.BukkitBlockMaterial,1,12.2778,28,5,1,
com.sk89q.worldedit.bukkit.BukkitCommandInspector,8,1,1,0,23,7
com.sk89q.worldedit.bukkit.BukkitCommandSender,7,2,4,0,24,18
com.sk89q.worldedit.bukkit.BukkitConfiguration,7,3,2,0,14,4
com.sk89q.worldedit.bukkit.BukkitEntity,12,1,1,0,25,17
com.sk89q.worldedit.bukkit.BukkitEntityProperties,2,1,1,0,25,26
com.sk89q.worldedit.bukkit.BukkitItemCategoryRegistry,5,1,1,0,11,4
com.sk89q.worldedit.bukkit.BukkitItemRegistry,7,2,2,0,8,4
com.sk89q.worldedit.bukkit.BukkitPlayer,34,2,4,0,107,47
com.sk89q.worldedit.bukkit.BukkitPlayer.SessionKeyImpl,2,9,25,5,0.1667,
com.sk89q.worldedit.bukkit.BukkitPlayerBlockBag,12,2,3,0,24,27
com.sk89q.worldedit.bukkit.BukkitRegistries,12,2,6,0,8,7
com.sk89q.worldedit.bukkit.BukkitServerInterface,29,2,11,0,92,36
com.sk89q.worldedit.bukkit.BukkitWatchdog,3,1,1,0,3,2
com.sk89q.worldedit.bukkit.BukkitWorld,43,2,1,0,159,88
com.sk89q.worldedit.bukkit.CUIChannelListener,3,1,1,0,6,2
com.sk89q.worldedit.bukkit.EditSessionBlockChangeDelegate,8,1,1,0,15,6
com.sk89q.worldedit.bukkit.WorldEditListener,16,1,1,0,53,22
com.sk89q.worldedit.bukkit.WorldEditPlugin,63,3,1,0,175,56
com.sk89q.worldedit.bukkit.WorldEditPlugin.AsyncTabCompleteListener,0,47.0588,33,2,0,
com.sk89q.worldedit.bukkit.WorldEditPlugin.WorldInitListener,0,5.625,8,1,0,
com.sk89q.worldedit.bukkit.adapter.AdapterLoadException,2,3,0,0,7,4
com.sk89q.worldedit.bukkit.adapter.BukkitImplAdapter,N/A,N/A,N/A,N/A,N/A,N/A
com.sk89q.worldedit.bukkit.adapter.BukkitImplLoader,5,1,1,0,40,22
com.sk89q.worldedit.bukkit.adapter.Refraction,7,1,1,0,4,3
com.sk89q.worldedit.bukkit.adapter.UnsupportedVersionEditException,2,4,0,0,3,1
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightAdapter,51,1,15,N/A,403,147
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightAdapter.MojangWatchdog,2,16.5,18,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightAdapter.NoOpWorldLoadListener,0,0,15,5,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightAdapter.SpigotWatchdog,1,12.2143,19,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters,56,2,2,0,117,49
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverter,N/A,N/A,0,N/A,N/A,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterArmorStand,0,11.9167,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterBanner,0,25.0909,33,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterBedBlock,1,27.7895,35,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterBedItem,0,12.5714,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterBook,0,55.3478,53,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterCookedFish,1,12.8571,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterDropChances,0,22.6154,21,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterEntity,1,11.2981,12,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterEquipment,0,41.9048,44,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterGuardian,0,13,14,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterHanging,0,42.6944,28,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterHealth,1,12.8929,21,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterHorse,0,15.9375,29,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterLang,0,12,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterMaterialId,1,12.8452,14,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterMinecart,1,16.875,17,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterMobSpawner,0,29.1429,32,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterPotionId,1,27.2881,23,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterPotionWater,0,13.9286,18,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterRiding,0,23.75,23,5,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterSaddle,0,19.3846,16,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterShulker,0,11.7857,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterShulkerBoxBlock,0,7.7,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterShulkerBoxItem,1,18.7,26,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterSignText,1,47.7273,52,4,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterSkeleton,0,13.6364,18,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterSpawnEgg,1,17.2333,24,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterTileEntity,1,11.3942,12,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterTotem,0,8.8,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterUUID,0,13.5,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterVBO,0,5,9,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterZombie,1,35.5385,28,4,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataConverterZombieType,0,16.0312,27,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspector,N/A,N/A,0,N/A,N/A,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorBlockEntity,1,43.5,37,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorChunks,0,28.2857,21,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorCommandBlock,1,11.6667,9,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorEntity,0,19.5278,26,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorEntityPassengers,0,15.3,10,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorItem,1,7.7143,10,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorItemList,1,7.7143,10,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorLevelPlayer,0,7.5,7,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorMobSpawnerMinecart,1,12.75,10,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorMobSpawnerMobs,1,16.875,14,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorPlayer,0,15.2778,12,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorPlayerVehicle,0,9.625,10,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorStructure,0,26.8571,25,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorTagged,1,13.3333,9,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.DataInspectorVillagers,1,23.6389,17,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.LegacyType,N/A,N/A,7,N/A,N/A,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightDataConverters.WrappedDataFixer,1,35,37,4,0.3333,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightFakePlayer,1,5,11,0,20,12
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightServerLevelDelegateProxy,13,1,2,0,52,25
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R2.PaperweightWorldNativeAccess,7,1,5,0,71,27
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightAdapter,51,1,15,N/A,403,148
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightAdapter.MojangWatchdog,2,16.5,18,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightAdapter.NoOpWorldLoadListener,0,0,15,5,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightAdapter.SpigotWatchdog,1,12.2143,19,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters,56,2,2,0,117,49
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverter,N/A,N/A,0,N/A,N/A,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterArmorStand,0,11.9167,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterBanner,0,25.0909,33,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterBedBlock,1,27.7895,35,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterBedItem,0,12.5714,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterBook,0,55.3478,53,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterCookedFish,1,12.8571,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterDropChances,0,22.6154,21,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterEntity,1,11.2981,12,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterEquipment,0,41.9048,44,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterGuardian,0,13,14,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterHanging,0,42.6944,28,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterHealth,1,12.8929,21,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterHorse,0,15.9375,29,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterLang,0,12,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterMaterialId,1,12.8452,14,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterMinecart,1,16.875,17,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterMobSpawner,0,29.1429,32,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterPotionId,1,27.2881,23,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterPotionWater,0,13.9286,18,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterRiding,0,23.75,23,5,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterSaddle,0,19.3846,16,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterShulker,0,11.7857,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterShulkerBoxBlock,0,7.7,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterShulkerBoxItem,1,18.7,26,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterSignText,1,47.7273,52,4,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterSkeleton,0,13.6364,18,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterSpawnEgg,1,17.2333,24,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterTileEntity,1,11.3942,12,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterTotem,0,8.8,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterUUID,0,13.5,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterVBO,0,5,9,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterZombie,1,35.5385,28,4,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataConverterZombieType,0,16.0312,27,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspector,N/A,N/A,0,N/A,N/A,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorBlockEntity,1,43.5,37,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorChunks,0,28.2857,21,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorCommandBlock,1,11.6667,9,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorEntity,0,19.5278,26,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorEntityPassengers,0,15.3,10,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorItem,1,7.7143,10,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorItemList,1,7.7143,10,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorLevelPlayer,0,7.5,7,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorMobSpawnerMinecart,1,12.75,10,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorMobSpawnerMobs,1,16.875,14,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorPlayer,0,15.2778,12,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorPlayerVehicle,0,9.625,10,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorStructure,0,26.8571,25,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorTagged,1,13.3333,9,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.DataInspectorVillagers,1,23.6389,17,1,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.LegacyType,N/A,N/A,7,N/A,N/A,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightDataConverters.WrappedDataFixer,1,35,37,4,0.3333,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightFakePlayer,1,5,11,0,20,12
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightServerLevelDelegateProxy,13,1,2,0,52,25
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R3.PaperweightWorldNativeAccess,7,1,5,0,71,27
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightAdapter,51,1,14,N/A,409,149
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightAdapter.MojangWatchdog,2,16.5,18,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightAdapter.NoOpWorldLoadListener,0,0,12,4,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightAdapter.SpigotWatchdog,1,12.2143,19,2,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters,56,2,2,0,117,49
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverter,N/A,N/A,0,N/A,N/A,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterArmorStand,0,11.9167,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterBanner,0,25.0909,33,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterBedBlock,1,27.7895,35,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterBedItem,0,12.5714,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterBook,0,58.2609,53,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterCookedFish,1,12.8571,11,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterDropChances,0,22.6154,21,3,0,
com.sk89q.worldedit.bukkit.adapter.impl.v1_20_R4.PaperweightDataConverters.DataConverterEntity,1,11.2981,12,3,0,
